epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,3245.08,0.94022,0.61179,1.10747,0.94081,0.90202,0.94836,0.7483,0.95776,0.46633,1.05403,0.00089141,0.00089141,0.00089141
78,3287.14,0.9327,0.59863,1.10203,0.93652,0.90906,0.95249,0.75168,0.95326,0.46039,1.04837,0.000884337,0.000884337,0.000884337
79,3329.23,0.92403,0.5965,1.09584,0.92335,0.92401,0.95822,0.75359,0.94883,0.45199,1.04288,0.000877263,0.000877263,0.000877263
80,3371.39,0.93086,0.59235,1.10509,0.92327,0.9225,0.95373,0.75212,0.96999,0.458,1.06261,0.00087019,0.00087019,0.00087019
81,3413.36,0.93108,0.60374,1.09762,0.93427,0.92207,0.95846,0.75322,0.96225,0.45269,1.0518,0.000863116,0.000863116,0.000863116
82,3455.65,0.92623,0.61104,1.10242,0.92423,0.92865,0.95722,0.75005,0.95246,0.45823,1.05939,0.000856042,0.000856042,0.000856042
83,3497.65,0.9136,0.59181,1.09096,0.94066,0.91198,0.9588,0.75323,0.96147,0.45419,1.05773,0.000848969,0.000848969,0.000848969
84,3539.76,0.90384,0.58213,1.09427,0.92614,0.93065,0.95886,0.75493,0.95318,0.45073,1.05599,0.000841895,0.000841895,0.000841895
85,3582.13,0.90201,0.58305,1.08436,0.93706,0.91994,0.95991,0.75841,0.95572,0.44118,1.05085,0.000834822,0.000834822,0.000834822
86,3624.09,0.89168,0.57093,1.08591,0.94417,0.91672,0.95783,0.76129,0.93107,0.43591,1.03287,0.000827748,0.000827748,0.000827748
87,3666.41,0.88851,0.56435,1.07906,0.92874,0.9256,0.95782,0.75855,0.94214,0.44254,1.04147,0.000820675,0.000820675,0.000820675
88,3708.18,0.89895,0.5759,1.08774,0.92364,0.93411,0.95641,0.76055,0.93825,0.4415,1.04287,0.000813601,0.000813601,0.000813601
89,3750.65,0.88728,0.5634,1.0791,0.93658,0.93075,0.96419,0.76378,0.93951,0.43148,1.03879,0.000806528,0.000806528,0.000806528
90,3792.81,0.91051,0.57256,1.08179,0.931,0.91976,0.95994,0.76389,0.93109,0.43481,1.03284,0.000799454,0.000799454,0.000799454
91,3835.62,0.89149,0.5584,1.0829,0.92279,0.93288,0.95852,0.76607,0.93452,0.42989,1.04029,0.00079238,0.00079238,0.00079238
92,3877.62,0.88841,0.57038,1.07838,0.93245,0.92595,0.95994,0.76296,0.94511,0.44116,1.04704,0.000785307,0.000785307,0.000785307
93,3920.11,0.88291,0.55695,1.07709,0.94409,0.92018,0.96233,0.7616,0.94495,0.43732,1.04507,0.000778233,0.000778233,0.000778233
94,3962.2,0.8883,0.56266,1.07716,0.92654,0.93554,0.95865,0.76559,0.93188,0.43154,1.04415,0.00077116,0.00077116,0.00077116
95,4004.11,0.88192,0.55181,1.07104,0.93677,0.92084,0.95891,0.76265,0.93719,0.42819,1.03714,0.000764086,0.000764086,0.000764086
96,4046.24,0.88089,0.55942,1.07152,0.94076,0.92386,0.95992,0.76528,0.93927,0.43071,1.03741,0.000757013,0.000757013,0.000757013
97,4088.37,0.87372,0.54994,1.08221,0.93376,0.93321,0.9614,0.76826,0.94384,0.43441,1.04419,0.000749939,0.000749939,0.000749939
98,4130.87,0.87101,0.54054,1.06936,0.92212,0.93789,0.96229,0.77009,0.92773,0.43345,1.03477,0.000742866,0.000742866,0.000742866
99,4173.14,0.86217,0.54427,1.06619,0.9327,0.93369,0.95988,0.76405,0.933,0.42603,1.03897,0.000735792,0.000735792,0.000735792
100,4215.32,0.87593,0.5506,1.07643,0.93311,0.93516,0.96171,0.76576,0.92117,0.42653,1.0355,0.000728719,0.000728719,0.000728719
101,4257.19,0.85016,0.54243,1.06493,0.94172,0.91389,0.96119,0.76338,0.93228,0.43035,1.04213,0.000721645,0.000721645,0.000721645
102,4299.5,0.86709,0.54612,1.07037,0.93495,0.93239,0.96204,0.76441,0.93395,0.42733,1.03649,0.000714571,0.000714571,0.000714571
103,4341.31,0.8643,0.53897,1.0641,0.93827,0.9283,0.96251,0.76458,0.93164,0.42815,1.03901,0.000707498,0.000707498,0.000707498
104,4383.32,0.86789,0.54265,1.06341,0.94423,0.92681,0.96057,0.76977,0.92139,0.42142,1.02961,0.000700424,0.000700424,0.000700424
105,4425.26,0.86291,0.54129,1.06089,0.93465,0.93618,0.96185,0.76497,0.93462,0.43181,1.0432,0.000693351,0.000693351,0.000693351
106,4467.2,0.8397,0.52961,1.05613,0.927,0.9347,0.96221,0.76807,0.93053,0.42159,1.0448,0.000686277,0.000686277,0.000686277
107,4509.34,0.84115,0.52629,1.05185,0.95088,0.90208,0.96118,0.76763,0.93385,0.42748,1.03697,0.000679204,0.000679204,0.000679204
108,4551.61,0.85175,0.52589,1.05497,0.94633,0.91331,0.96156,0.76416,0.93294,0.42016,1.04498,0.00067213,0.00067213,0.00067213
109,4593.67,0.83324,0.50972,1.0558,0.94028,0.92304,0.96173,0.77305,0.92711,0.42059,1.04011,0.000665057,0.000665057,0.000665057
110,4635.73,0.85377,0.53022,1.05942,0.94425,0.91982,0.95921,0.76574,0.9354,0.42828,1.0458,0.000657983,0.000657983,0.000657983
111,4677.67,0.83286,0.51904,1.04873,0.95555,0.90997,0.96239,0.77135,0.92211,0.42395,1.03349,0.000650909,0.000650909,0.000650909
112,4719.81,0.83528,0.51653,1.05044,0.93089,0.93587,0.96219,0.77224,0.92731,0.41713,1.03622,0.000643836,0.000643836,0.000643836
113,4762.17,0.83268,0.52328,1.05341,0.93104,0.9338,0.9575,0.76791,0.9335,0.41508,1.04213,0.000636762,0.000636762,0.000636762
114,4804.33,0.82626,0.51373,1.05041,0.95047,0.91654,0.96092,0.76625,0.92574,0.41719,1.03783,0.000629689,0.000629689,0.000629689
115,4846.37,0.82988,0.51218,1.04489,0.93461,0.9364,0.9624,0.7698,0.9265,0.42089,1.03824,0.000622615,0.000622615,0.000622615
116,4888.38,0.81492,0.49553,1.04171,0.94076,0.92955,0.96206,0.77493,0.93289,0.41546,1.03475,0.000615542,0.000615542,0.000615542
117,4930.68,0.82243,0.50653,1.04542,0.92989,0.93758,0.96417,0.77483,0.92166,0.42088,1.0385,0.000608468,0.000608468,0.000608468
118,4972.71,0.82229,0.50168,1.04718,0.93315,0.92777,0.96179,0.77446,0.91609,0.41946,1.02983,0.000601395,0.000601395,0.000601395
119,5014.45,0.82995,0.50486,1.04294,0.94244,0.92031,0.96053,0.77263,0.91286,0.41807,1.02818,0.000594321,0.000594321,0.000594321
120,5056.97,0.8351,0.50545,1.04353,0.93909,0.93168,0.96351,0.77223,0.92169,0.41727,1.03598,0.000587248,0.000587248,0.000587248
121,5098.8,0.82158,0.50422,1.04299,0.94373,0.92965,0.96317,0.77672,0.92045,0.41394,1.02967,0.000580174,0.000580174,0.000580174
122,5141.14,0.83018,0.50809,1.04561,0.92994,0.94159,0.96366,0.775,0.9257,0.41265,1.03858,0.0005731,0.0005731,0.0005731
123,5182.94,0.80212,0.48761,1.03857,0.93529,0.93557,0.96273,0.77588,0.91664,0.41009,1.03371,0.000566027,0.000566027,0.000566027
124,5225.02,0.80714,0.49844,1.04117,0.93548,0.93667,0.96408,0.77456,0.91708,0.41013,1.03584,0.000558953,0.000558953,0.000558953
125,5267.19,0.80911,0.49402,1.03822,0.94341,0.92269,0.96268,0.7749,0.91589,0.40457,1.03371,0.00055188,0.00055188,0.00055188
126,5309.33,0.80659,0.48912,1.03433,0.94925,0.9241,0.96307,0.7749,0.91459,0.41495,1.0318,0.000544806,0.000544806,0.000544806
127,5351.17,0.80303,0.49042,1.03501,0.94677,0.92578,0.96255,0.77505,0.92066,0.41695,1.0341,0.000537733,0.000537733,0.000537733
128,5392.84,0.79642,0.48503,1.02954,0.94243,0.93093,0.9645,0.77927,0.91641,0.40893,1.03369,0.000530659,0.000530659,0.000530659
